Landmark_Name,Landmark_Alternate_Name,BuildType,USE_ORIG,Use_Second,Use_Tertia,Borough,Neighborhood,Address,latitude,longitude,geometry,FID,OBJECTID,Block,Lot,BBL_Code,Shape_Leng,Shape_Area,URL_IMAGE
Public School 73,"",School,"Civic, school","","",Brooklyn,"Bedford-Stuyvesant, East New York",241 MacDougal Street,40.68069,-73.91071,Point,422,888,1528,1,3015280001,949.18506,54760.97,http://www1.nyc.gov/assets/lpc/images/content/designations/1289.jpg
Castle Clinton,now Castle Clinton National Monument,Fort,"Civic, fort","Civic, museum",theater; immigration station; aquarium,Manhattan,Battery Park,Battery Park,40.70346,-74.01679,Point,532,999,3,1,1000030001,639.0317,29787.27,http://www1.nyc.gov/assets/lpc/images/content/designations/0029.jpg
12 Fulton Street Building,"",Countinghouse,"Commercial, countinghouse","Commercial, Retail","",Manhattan,South Street Seaport,12 Fulton Street,40.706573,-74.00373,Point,541,1008,74,1,1000740001,178.52405,1433.7234,http://www1.nyc.gov/assets/lpc/images/content/designations/0062.jpg
Pierpont Morgan Library and Annex,now the Morgan Library & Museum,Library,"Civic, library",Museum,"",Manhattan,Murray Hill/Kips Bay,225 Madison Avenue,40.749027,-73.98135,Point,1459,323,866,25,1008660025,951.8376,28554.291,http://www1.nyc.gov/assets/lpc/images/content/designations/0239.jpg
Trinity Building,"",Office Building,"Commercial, office building","","",Manhattan,Financial District,111 Broadway,40.70872,-74.01164,Point,1471,336,49,2,1000490002,695.87036,20726.342,http://www1.nyc.gov/assets/lpc/images/content/designations/1557.jpg
Martha Washington Hotel,"",Hotel,"Commercial, hotel","","",Manhattan,"",27 East 29th Street,40.744713,-73.984474,Point,592,1059,859,26,1008590026,569.30725,15871.018,http://www1.nyc.gov/assets/lpc/images/content/designations/2428.jpg
Flatbush Dutch Reformed Church,"",Church,"Religious, church, Dutch Reformed","","",Brooklyn,Flatbush,890 Flatbush Avenue,40.650135,-73.95899,Point,694,1162,5102,1,3051020001,312.62167,4928.712,http://www1.nyc.gov/assets/lpc/images/content/designations/0170.jpg
Saint Cecilia's Church,"",Church,"Religious, church, Roman Catholic","","",Manhattan,East Harlem South,120 East 106th Street,40.792274,-73.9471,Point,842,507,1633,61,1016330061,506.63055,11779.054,http://www1.nyc.gov/assets/lpc/images/content/designations/0933.jpg
Manhattan Company Building,now the Trump Building,Office Building,"Commercial, office building","","",Manhattan,Financial District,40 Wall Street,40.707024,-74.009735,Point,1467,332,43,2,1000430002,851.053,35085.91,http://www1.nyc.gov/assets/lpc/images/content/designations/1936.jpg
53rd (now 101st) Precinct Police Station,"",Police Station,"Civic, police station","","",Queens,Far Rockaway,16-12 Mott Avenue,40.602894,-73.750015,Point,282,0,15557,4,4155570004,0.0,0.0,http://www1.nyc.gov/assets/lpc/images/content/designations/2610.jpg
I. Miller Building,"",Store,"Commercial, retail, store","","",Manhattan,Theatre District,1522-1554 Broadway,40.7586,-73.984726,Point,747,412,999,1,1009990001,249.78589,3467.806,http://www1.nyc.gov/assets/lpc/images/content/designations/2023.jpg
Beaux-Arts Institute of Design,"",School,"Institutional, school","","",Manhattan,Turtle Bay/East Midtown,304 East 44th Street,40.750732,-73.97085,Point,798,463,1336,47,1013360047,332.54938,5797.116,http://www1.nyc.gov/assets/lpc/images/content/designations/1667.jpg
"New York Public Library, George Bruce Branch","",Library,"Civic, library","","",Manhattan,"",518 West 125th Street,40.813778,-73.957054,Point,996,662,1980,22,1019800022,351.64938,6270.156,http://www1.nyc.gov/assets/lpc/images/content/designations/2304.jpg
Germania Bank Building,"",Bank,"Commercial, bank",Bank,"",Manhattan,Bowery,190 Bowery,40.721203,-73.99407,Point,1270,134,492,38,1004920038,313.95016,5426.6763,http://www1.nyc.gov/assets/lpc/images/content/designations/2162.jpg
Hotel Mansfield,now the Mansfield Hotel,Apartment Hotel,"Commercial, hotel","","",Manhattan,"",12 West 44th Street,40.75503,-73.98111,Point,1380,244,1259,47,1012590047,309.37292,5280.4814,http://www1.nyc.gov/assets/lpc/images/content/designations/2517.jpg
Betsy Head Play Center,"",Pool,"Civic, recreation, pool","","",Brooklyn,Brownsville,Thomas Boyland Street between Livonia and Dumont Avenues,40.662827,-73.91251,Point,132,1339,3570,1,3035700001,1633.8724,154009.78,http://www1.nyc.gov/assets/lpc/images/content/designations/2240.jpg
"New York Public Library, Yorkville Branch","",Library,"Civic, library","","",Manhattan,Yorkville,222 East 79th Street,40.773605,-73.95641,Point,809,474,1433,37,1014330037,287.9807,4124.526,http://www1.nyc.gov/assets/lpc/images/content/designations/0425.jpg
