Landmark_Name,Landmark_Alternate_Name,BuildType,USE_ORIG,Use_Second,Use_Tertia,Borough,Neighborhood,Address,latitude,longitude,geometry,FID,OBJECTID,Block,Lot,BBL_Code,Shape_Leng,Shape_Area,URL_IMAGE
Brooklyn Bridge,"",Bridge,"Infrastructure, bridge","","","",DUMBO,"spanning the East River between Cadman Plaza, Brooklyn, and City Hall Park, Manhattan",40.70626,-73.99706,Point,679,1147,0,0,0,7121.2515,240160.92,http://www1.nyc.gov/assets/lpc/images/content/designations/0098.jpg
Public School 15 (Daniel D. Tompkins School),"",School,"Civic, school","","",Staten Island,"Stapleton, Rosebank",98 Grant Street,40.63369,-74.07836,Point,1139,3,506,81,5005060081,748.859,32265.596,http://www1.nyc.gov/assets/lpc/images/content/designations/1877.jpg
Samuel Gompers Industrial High School,"",School,"Civic, school","","",The Bronx,"Mott Haven, Port Morris",455 Southern Boulevard (aka 462 Wales Avenue),40.81048,-73.90758,Point,322,0,2576,25,2025760026,0.0,0.0,http://www1.nyc.gov/assets/lpc/images/content/designations/2666.jpg
American Tract Society Building,"",Office Building,"Commercial, office building","","",Manhattan,Civic Center,150 Nassau Street,40.711403,-74.005905,Point,754,419,100,7501,1001007501,404.77896,10217.939,http://www1.nyc.gov/assets/lpc/images/content/designations/2038.jpg
Fire Engine Company No. 31,now the Downtown Community Television Center,Fire Station,"Civic, fire station",Civic org,"",Manhattan,Civic Center,87 Lafayette Street,40.71732,-74.00115,Point,1508,373,197,1,1001970001,396.59854,9730.187,http://www1.nyc.gov/assets/lpc/images/content/designations/0087.jpg
Steinway Hall,"",Office Building,"Commercial, office building","","Commercial, Retail",Manhattan,Midtown West/Theatre District,109-113 West 57th Street,40.765003,-73.97757,Point,116,1323,1010,25,1010100025,631.3176,17515.967,http://www1.nyc.gov/assets/lpc/images/content/designations/2100.jpg
"New York Public Library, Aguilar Branch","",Library,"Civic, library","","",Manhattan,East Harlem,174 East 110th Street,40.794178,-73.94348,Point,877,543,1637,141,1016370141,311.42978,5285.7153,http://www1.nyc.gov/assets/lpc/images/content/designations/1837.jpg
Guardian Life Insurance Company of America Annex,"",Office Building,"Commercial, office building","","",Manhattan,"",105 East 17th Street,40.736492,-73.98796,Point,1318,182,873,10,1008730010,832.2399,30365.855,http://www1.nyc.gov/assets/lpc/images/content/designations/2247.jpg
Hearst Magazine Building,"",Office Building,"Commercial, office building","","",Manhattan,Midtown West,951-969 Eighth Avenue,40.766567,-73.98361,Point,1389,253,1047,7502,1010477502,829.2931,42945.68,http://www1.nyc.gov/assets/lpc/images/content/designations/1625.jpg
Oliver Street Baptist Church,now Mariners' Temple,Church,"Religious, church, Baptist",Baptist Church,"",Manhattan,Bowery,12 Oliver Street,40.712975,-73.99773,Point,1510,375,279,69,1002790069,448.59076,11602.157,http://www1.nyc.gov/assets/lpc/images/content/designations/0093.jpg
Brooklyn Trust Company Building,"",Bank,"Commercial, bank","","",Brooklyn,Brooklyn Heights,177-179 Montague Street,40.694595,-73.99206,Point,359,825,244,17,3002440017,579.684,14170.919,http://www1.nyc.gov/assets/lpc/images/content/designations/1905.jpg
St. Regis Hotel,"",Hotel,"Commercial, hotel",Hotel,"",Manhattan,Midtown/Midtown South,699-703 Fifth Avenue,40.761257,-73.97448,Point,903,569,1290,7502,1012907502,708.6843,23437.371,http://www1.nyc.gov/assets/lpc/images/content/designations/1552.jpg
Westfield Township School No. 7,later Public School 4,School,"Civic, school","","",Staten Island,"Charleston, Kreischerville, Westfield Township",4210-4212 Arthur Kill Road,40.539814,-74.23705,Point,93,1300,7315,7,0,750.3374,31601.742,http://www1.nyc.gov/assets/lpc/images/content/designations/1876.jpg
Trinity Chapel Complex,now the Serbian Orthodox Cathedral of Saint Sava and Parish House,Church,"Religious, church, Episcopal",Serbian Orthodox Church,"",Manhattan,"Hudson Yards, Chelsea, Flatiron, Union Square",15 West 25th Street,40.743736,-73.98983,Point,1495,360,827,22,1008270022,702.75037,24848.56,http://www1.nyc.gov/assets/lpc/images/content/designations/0233.jpg
Public School 102,"later Public School 17, the City Island School",School,"Civic, school","","",The Bronx,City Island,190 Fordham Street,40.847122,-73.784355,Point,502,969,5643,7501,2056437501,993.9185,43193.75,http://www1.nyc.gov/assets/lpc/images/content/designations/2487.jpg
193 Front Street Building,"",Countinghouse,"Commercial, countinghouse","Commercial, Retail","",Manhattan,South Street Seaport,193 Front Street,40.706646,-74.00394,Point,536,1003,74,1,1000740001,194.90434,1459.164,http://www1.nyc.gov/assets/lpc/images/content/designations/0057.jpg
Church of Saint Vincent Ferrer Complex,"",Church,"Religious, church, Roman Catholic","Religious, school, priory","",Manhattan,Upper East Side/Carnegie Hill,869 Lexington Avenue and 141-151 East 65th Street,40.766193,-73.96468,Point,725,1193,1400,20,1014000020,685.2318,22296.617,http://www1.nyc.gov/assets/lpc/images/content/designations/0416.jpg
"Benevolent and Protective Order of Elks, Lodge Number 878","",Club,"Institutional, private club","","",Queens,Elmhurst,82-10 Queens Boulevard,40.736973,-73.88113,Point,113,1320,2475,12,4024750012,381.46088,8694.185,http://www1.nyc.gov/assets/lpc/images/content/designations/2086.jpg
Heckscher Building (now the Crown Building),"",Commercial Building,Commercial,"","","",Midtown/Midtown South,"730 Fifth Avenue (aka 728-734 Fifth Avenue, 2-4 West 57th Street)",40.762917,-73.974556,Point,334,0,1272,7503,1012727503,0.0,0.0,http://www1.nyc.gov/assets/lpc/images/content/designations/2678.jpg
Public School 86,also known as the Irvington School,School,"Civic, school","","",Brooklyn,Bushwick,220 Irving Avenue,40.7006,-73.9178,Point,443,909,3289,27,3032890027,541.05096,18031.06,http://www1.nyc.gov/assets/lpc/images/content/designations/1808.jpg
Jackie Robinson Play Center,"",Pool,"Civic, recreation, pool","","",Manhattan,Hamilton Heights,Bradhurst Avenue between West 145th and West 153rd Streets,40.82661,-73.94113,Point,611,1079,0,0,0,5797.962,676995.44,http://www1.nyc.gov/assets/lpc/images/content/designations/2238.jpg
Pier A,"",Pier,"Infrastructure, pier","",Memorial,Manhattan,Battery Park,Battery Park,40.70441,-74.017914,Point,665,1133,16,1,1000160001,736.35474,14195.173,http://www1.nyc.gov/assets/lpc/images/content/designations/0918.jpg
Barclay-Vesey Building,"",Office Building,"Commercial, office building",Office building,"",Manhattan,Financial District,140 West Street,40.713783,-74.01294,Point,1326,190,84,1,1000840001,951.2699,52430.297,http://www1.nyc.gov/assets/lpc/images/content/designations/1745.jpg
"New York Public Library, Hunts Point Branch","",Library,"Civic, library","","",The Bronx,Hunts Point,877 Southern Boulevard,40.818695,-73.894165,Point,486,953,2722,63,2027220063,377.95203,8880.006,http://www1.nyc.gov/assets/lpc/images/content/designations/2323.jpg
Socony-Mobil Building,"",Office Building,"Commercial, office building",Office Building,"",Manhattan,Murray Hill/Kips Bay,150 East 42nd Street,40.750767,-73.97552,Point,1008,674,1296,46,1012960046,1274.6384,89727.72,http://www1.nyc.gov/assets/lpc/images/content/designations/2117.jpg
Hickson W. Field Stores,"also known as the Baker, Carver & Morrell Building",Countinghouse,"Commercial, countinghouse","Commercial, Retail","",Manhattan,South Street Seaport,170-176 John Street,40.705917,-74.00428,Point,1098,764,72,7501,1000727501,377.6685,5502.816,http://www1.nyc.gov/assets/lpc/images/content/designations/0074.jpg
Empire State Building,"",Office Building,"Commercial, office building",Offices and retail,"",Manhattan,Midtown/Midtown South,350 Fifth Avenue,40.748463,-73.98571,Point,757,422,835,41,1008350041,1421.8364,97113.734,http://www1.nyc.gov/assets/lpc/images/content/designations/2000.jpg
Cathedral Church of St. John the Divine and the Cathedral Close,"",Church,"Religious, church, Episcopal","","",Manhattan,Morningside Heights,"1047 Amsterdam Avenue (aka 1021-1061 Amsterdam Avenue and 419 West 110th Street [Cathedral Parkway]),",40.803375,-73.961945,Point,203,0,0,0,0,0.0,0.0,http://www1.nyc.gov/assets/lpc/images/content/designations/2585.jpg
The Salvation Army National and Territorial Headquarters,"",Headquarters Building,"Institutional, charitable, headquarters building","","",Manhattan,"",120-130 West 14th Street,40.737644,-73.998276,Point,205,0,609,23,1006090023,0.0,0.0,http://www1.nyc.gov/assets/lpc/images/content/designations/2565.jpg
Benjamin Franklin High School (now the Manhattan Center for Science and Mathematics),"",School,"Civic, school","","",Manhattan,East Harlem,"260 Pleasant Avenue (aka 260-300 Pleasant Avenue, 500-528 East 116th Street)",40.79415,-73.93293,Point,280,0,1713,1,1017130001,0.0,0.0,http://www1.nyc.gov/assets/lpc/images/content/designations/2596.jpg
The Arsenal,now the Administration Building of the New York City Department of Parks and Recreation,Armory,"Civic, armory","Civic, Parks Department",Police Station; Museum,Manhattan,Central Park,Central Park at East 64th Street,40.76764,-73.971306,Point,709,1177,1111,1,1011110001,532.9011,9760.327,http://www1.nyc.gov/assets/lpc/images/content/designations/0312.jpg
Sleight Family Graveyard,also known as the Rossville or Blazing Star Burial Ground,Cemetery,Cemetery,"","",Staten Island,Rossville,Arthur Kill Road at Rossville Road,40.556396,-74.21261,Point,721,1189,6169,103,5061690103,464.8961,11787.895,http://www1.nyc.gov/assets/lpc/images/content/designations/0387.jpg
Central Synagogue,(Congregation Ahavath Chesed),Synagogue,"Religious, synagogue","Religious, Synagogue","",Manhattan,Turtle Bay/East Midtown,652 Lexington Avenue,40.75959,-73.97055,Point,843,508,1309,56,1013090056,498.11014,15107.385,http://www1.nyc.gov/assets/lpc/images/content/designations/0276.jpg
Church of Saint Mary-the-Virgin Complex,"",Church,"Religious, church, Episcopal","","",Manhattan,Theatre District,133-145 West 46th Street,40.758358,-73.983604,Point,1268,132,999,12,1009990012,666.56586,22679.318,http://www1.nyc.gov/assets/lpc/images/content/designations/1562.jpg
Rezeau-Van Pelt Cemetery,"",Cemetery,Cemetery,"","",Staten Island,"Todt Hill, Emerson Hill, Hartland Village, Lighthouse Hill",Center Street,40.57083,-74.14599,Point,642,1110,4441,100,0,181.20236,2019.7394,http://www1.nyc.gov/assets/lpc/images/content/designations/0397-H.jpg
Bank of New York & Trust Company Building,"",Skyscraper,"Commercial, office building","Commercial, bank","",Manhattan,Financial District,48 Wall Street,40.706486,-74.00912,Point,947,613,40,14,1000400014,475.20413,13244.576,http://www1.nyc.gov/assets/lpc/images/content/designations/2025.jpg
B. F. Goodrich Company Building,"",Office Building,"Commercial, office building","","",Manhattan,"",1780 Broadway,40.766514,-73.98143,Point,149,1356,1029,14,1010290014,354.71777,6142.681,http://www1.nyc.gov/assets/lpc/images/content/designations/2380.jpg
Zion English Lutheran Church,now the Church of the Transfiguration,Church,"Religious, church, Lutheran",Roman Catholic Church,"",Manhattan,Lower East Side,25 Mott Street,40.714714,-73.999084,Point,813,478,164,37,1001640037,460.1375,12197.262,http://www1.nyc.gov/assets/lpc/images/content/designations/0085.jpg
General Society of Mechanics and Tradesmen,"",Club,"Institutional, private club","Institutional, library","",Manhattan,Midtown/Midtown South,20 West 44th Street,40.75513,-73.981346,Point,1484,349,1259,48,1012590048,404.96127,10242.469,http://www1.nyc.gov/assets/lpc/images/content/designations/1546.jpg
23rd Regiment Armory,"",Armory,"Civic, armory","","",Brooklyn,Crown Heights North,1322 Bedford Avenue,40.678436,-73.95383,Point,410,876,1199,15,3011990015,1356.5946,95021.414,http://www1.nyc.gov/assets/lpc/images/content/designations/0950.jpg
165 John Street Building,"",Countinghouse,"Commercial, countinghouse","Commercial, Retail","",Manhattan,South Street Seaport,165 John Street,40.706448,-74.00393,Point,549,1016,74,1,1000740001,190.57646,1566.5935,http://www1.nyc.gov/assets/lpc/images/content/designations/0071.jpg
"New York Public Library, Chatham Square Branch","",Library,"Civic, library","","",Manhattan,Lower East Side,31 East Broadway,40.71333,-73.99649,Point,1280,144,280,44,1002800044,257.19302,3924.9648,http://www1.nyc.gov/assets/lpc/images/content/designations/2098.jpg
Broadhurst Theater,"",Theater,"Commercial, theater",Theater,"",Manhattan,Theatre District,235-243 West 44th Street,40.75827,-73.987625,Point,1381,245,1016,11,1010160011,423.88647,11226.817,http://www1.nyc.gov/assets/lpc/images/content/designations/1323.jpg
Pratt Institute: Main Building Complex,"",School,"Institutional, school, university","","",Brooklyn,Clinton Hill,215 Ryerson Street,40.691357,-73.96427,Point,102,1309,1920,1,3019200001,781.94104,19371.14,http://www1.nyc.gov/assets/lpc/images/content/designations/2010.jpg
Fire Engine Company No. 47,"",Fire Station,"Civic, fire station","","",Manhattan,Morningside Heights,500 West 113th Street,40.804863,-73.96299,Point,841,506,1884,38,1018840038,251.1444,2473.3645,http://www1.nyc.gov/assets/lpc/images/content/designations/1962.jpg
"Reformed Church on Staten Island, Sunday School Building, and Cemetery","",Church,"Religious, church, Dutch Reformed","","",Staten Island,"",54 Port Richmond Avenue,40.63969,-74.13271,Point,1163,27,1073,75,5010730075,1304.0771,50540.074,http://www1.nyc.gov/assets/lpc/images/content/designations/2384.jpg
Marble Collegiate Church,"",Church,"Religious, church, Dutch Reformed","","",Manhattan,Midtown/Midtown South,272 Fifth Avenue,40.745667,-73.98709,Point,1473,338,831,33,1008310033,518.75586,16318.888,http://www1.nyc.gov/assets/lpc/images/content/designations/0234.jpg
Bowery Bank of New York Building,"",Bank,"Commercial, bank","","",Manhattan,"",124 Bowery,40.718735,-73.995056,Point,1321,185,470,64,1004700064,309.14465,5238.806,http://www1.nyc.gov/assets/lpc/images/content/designations/2518.jpg
Fort Totten Battery,"",Fort,"Civic, fort","Civic, recreational","",Queens,Fort Totten,Fort Totten Park,40.796482,-73.77923,Point,19,1226,5917,1,4059170001,995.98157,16881.846,http://www1.nyc.gov/assets/lpc/images/content/designations/0826.jpg
Engine Company No. 252,"originally Fire Engine Company 52, later Engine Company 152",Fire Station,"Civic, fire station","","",Brooklyn,Bushwick South,617 Central Avenue,40.68866,-73.90807,Point,97,1304,3429,3,3034290003,249.82362,2529.7498,http://www1.nyc.gov/assets/lpc/images/content/designations/1931.jpg
830 Broadway Building,"",Store and Lofts,"Commercial, store and lofts","","",Manhattan,Union Square South,830 Broadway Building,40.73338,-73.99079,Point,291,0,564,36,1005640036,0.0,0.0,http://www1.nyc.gov/assets/lpc/images/content/designations/2617.jpg
Gravesend Cemetery,"",Cemetery,Cemetery,"","",Brooklyn,Gravesend,Gravesend Neck Road at McDonald Avenue,40.59461,-73.974556,Point,455,921,7146,1,3071460001,1486.1545,72389.664,http://www1.nyc.gov/assets/lpc/images/content/designations/0921.jpg
"Smith, Gray & Company Building","",Store and Lofts,"Commercial, store and lofts","","",Brooklyn,Williamsburg,103 Broadway,40.710636,-73.9648,Point,466,932,2471,8,3024710008,183.59006,1697.463,http://www1.nyc.gov/assets/lpc/images/content/designations/2161.jpg
Public School 27,"also known as Saint Mary's Park School, originally Public School 154",School,"Civic, school","","",The Bronx,"Mott Haven, Port Morris",519 Saint Ann's Avenue,40.813393,-73.91387,Point,482,949,2274,23,2022740023,653.46533,25173.438,http://www1.nyc.gov/assets/lpc/images/content/designations/1895.jpg
Public School 72,"later Public School 107, now Julio de Burgos Cultural Center",School,"Civic, school","Institutional, cultural center","",Manhattan,East Harlem South,1674 Lexington Avenue,40.792007,-73.94687,Point,1119,785,1633,13,1016330013,691.579,25321.215,http://www1.nyc.gov/assets/lpc/images/content/designations/1836.jpg
97 Bowery Building,"",Store and Lofts,"Commercial, store and lofts","","",Manhattan,"",97 Bowery,40.717342,-73.995026,Point,823,488,304,2,1003040002,269.74954,2727.4158,http://www1.nyc.gov/assets/lpc/images/content/designations/2353.jpg
A. T. Demarest & Company and Peerless Motor Car Company Buildings,"",Office Building,"Commercial, office building","","",Manhattan,Midtown West,224-228 West 57th Street,40.765842,-73.98155,Point,1382,246,1028,7502,1010287502,497.95572,14977.79,http://www1.nyc.gov/assets/lpc/images/content/designations/2082.jpg
American Radiator Building,now the Bryant Park Hotel,Office Building,"Commercial, office building",Hotel,"",Manhattan,Midtown/Midtown South,40 West 40th Street,40.752785,-73.9838,Point,26,1233,841,71,1008410071,311.2907,5958.8433,http://www1.nyc.gov/assets/lpc/images/content/designations/0878.jpg
Bedford Park Congregational Church,"",Church,"Religious, church, Congregational","","",The Bronx,"Beford Park, Fordham North",2988 Bainbridge Avenue,40.871296,-73.88343,Point,506,973,3299,1,2032990001,335.83084,6501.2417,http://www1.nyc.gov/assets/lpc/images/content/designations/2062.jpg
Russian Orthodox Cathedral of the Transfiguration of Our Lord,"",Church,"Religious, church, Russian Orthodox","","",Brooklyn,"North Side, South Side",Driggs Avenue at North 12th Street,40.71953,-73.95339,Point,691,1159,2292,1,3022920001,356.84125,7780.7837,http://www1.nyc.gov/assets/lpc/images/content/designations/0162.jpg
University Club,"",Club,"Institutional, private club","","",Manhattan,Midtown/Midtown South,1 West 54th Street,40.761482,-73.97568,Point,792,457,1270,34,1012700034,805.8071,25191.72,http://www1.nyc.gov/assets/lpc/images/content/designations/0263.jpg
Gorham Manufacturing Company Building,"",Store,"Commercial, retail, store","Retail, apartments",Commercial,Manhattan,Union Square,889-891 Broadway,40.73876,-73.99019,Point,1456,320,848,12,1008480012,328.31232,6054.01,http://www1.nyc.gov/assets/lpc/images/content/designations/1227.jpg
"Brooklyn Public Library, Park Slope Branch","",Library,"Civic, library","","",Brooklyn,Park Slope,431 6th Avenue,40.668247,-73.983406,Point,389,855,1006,1,3010060001,571.8203,18684.494,http://www1.nyc.gov/assets/lpc/images/content/designations/1994.jpg
Saint Paul's German Evangelical Lutheran Church,now Greater Metropolitan Baptist Church,Church,"Religious, church, German Evangelican Lutheran","Religious, church, Baptist","Religious, church, Christian Scientist",Manhattan,Harlem,147 West 123rd Street,40.80748,-73.948235,Point,1044,710,1908,9,1019080009,357.76767,7792.659,http://www1.nyc.gov/assets/lpc/images/content/designations/1844.jpg
American Surety Company Building,"",Office Building,"Commercial, office building","","",Manhattan,Financial District,100 Broadway,40.707977,-74.011116,Point,1336,200,46,3,1000460003,518.29584,16658.256,http://www1.nyc.gov/assets/lpc/images/content/designations/1934.jpg
Saint Andrew's Church,"",Church,"Religious, church, Episcopal","","",Staten Island,"Todt Hill, Emerson Hill, Hartland Village, Lighthouse Hill",Old Mill Road at Arthur Kill Road,40.572903,-74.14722,Point,1150,14,2294,70,5022940070,959.1209,55424.375,http://www1.nyc.gov/assets/lpc/images/content/designations/0399.jpg
"New Dorp Light, Expanded Site","",Lighthouse,"Infrastructure, lighthouse","","",Staten Island,"Todt Hill, Emerson Hill, Hartland Village, Lighthouse Hill",25 Boyle Street,40.580772,-74.11995,Point,1154,18,939,120,5009390120,963.9092,44473.996,http://www1.nyc.gov/assets/lpc/images/content/designations/0361E.jpg
Low Memorial Library,"",Library,"Institutional, college, library","","",Manhattan,Morningside Heights,North of the College Walk (West 116th Street) between Broadway and Amsterdam Avenue,40.80823,-73.96184,Point,707,1175,197,1,1019730001,760.51855,32273.352,http://www1.nyc.gov/assets/lpc/images/content/designations/0304.jpg
John Street Methodist Church,"",Church,"Religious, church, Methodist","","",Manhattan,Battery Park City/Lower Manhattan,44 John Street,40.709106,-74.00815,Point,1303,167,67,30,1000670030,255.83302,3667.2563,http://www1.nyc.gov/assets/lpc/images/content/designations/0055.jpg
Fire Engine Company No. 7/Hook & Ladder Company No. 1,now Hook & Ladder Company No. 1,Fire Station,"Civic, fire station","","",Manhattan,Civic Center,100 Duane Street,40.715332,-74.00623,Point,1491,356,150,25,1001500025,401.95276,9466.4,http://www1.nyc.gov/assets/lpc/images/content/designations/1719.jpg
Antioch Baptist Church,originally the Greene Avenue Baptist Church and Church House,Church,"Religious, church, Baptist","","",Brooklyn,Bedford-Stuyvesant,828 and 826 Greene Avenue,40.690037,-73.93499,Point,87,1294,1620,0,0,442.13782,12143.975,http://www1.nyc.gov/assets/lpc/images/content/designations/1790.jpg
175 West Broadway Building,"",Store and Lofts,"Commercial, store and lofts","","",Manhattan,Tribeca,175 West Broadway,40.717804,-74.0072,Point,799,464,176,14,1001760014,98.40754,590.5008,http://www1.nyc.gov/assets/lpc/images/content/designations/1725.jpg
United States Realty Building,"",Office Building,"Commercial, office building","","",Manhattan,Financial District,115 Broadway,40.708946,-74.011475,Point,1344,208,50,1,1000500001,680.3898,18116.207,http://www1.nyc.gov/assets/lpc/images/content/designations/1558.jpg
Fire Engine Company No. 23,"",Fire Station,"Civic, fire station","","",Manhattan,Midtown West,215 West 58th Street,40.766777,-73.98031,Point,1503,368,1030,23,1010300023,250.45688,2463.1467,http://www1.nyc.gov/assets/lpc/images/content/designations/1563.jpg
Empire State Dairy Company Buildings,"",Factory,"Industrial, factory","","",Brooklyn,East New York,Empire State Dairy Company Buildings,40.67663,-73.88897,Point,274,0,3964,8,3039640008,0.0,0.0,http://www1.nyc.gov/assets/lpc/images/content/designations/2575.jpg
Aakawaxung Munahanung (Island Protected from the Wind) Archaeological Site,"","","","","",Staten Island,Tottenville,"Conference House Park, 298 Satterlee Street (aka 298-300 Satterless Street), Staten Island",40.50086,-74.251945,Point,318,0,7857,1,5078570001,0.0,0.0,http://www1.nyc.gov/assets/lpc/images/content/designations/2648.jpg
Coney Island Theater Building,later Shore Theater,Theater,"Commercial, theater","","",Brooklyn,Coney Island,1301 Surf Avenue,40.575962,-73.98169,Point,397,863,7064,16,3070640016,609.9532,21188.145,http://www1.nyc.gov/assets/lpc/images/content/designations/2408.jpg
First Precinct Police Station,now the New York City Police Museum,Police Station,"Civic, police station","","Muni, vacant",Manhattan,Battery Park City/Lower Manhattan,100 Old Slip,40.70348,-74.00812,Point,35,1242,34,37,1000340037,401.5855,6126.0615,http://www1.nyc.gov/assets/lpc/images/content/designations/0968.jpg
New York Architectural Terra Cotta Company Building,"",Factory,"Industrial, factory","","",Queens,Long Island City,42-10 to 42-16 Vernon Boulevard,40.75399,-73.94982,Point,1205,69,477,20,4004770020,272.02457,4335.39,http://www1.nyc.gov/assets/lpc/images/content/designations/1304.jpg
S. Jarmulowsky Bank Building,"",Office Building,"Commercial, office building","Commercial, bank","Industrial, lofts",Manhattan,Lower East Side,54 Canal Street,40.71478,-73.99218,Point,919,585,294,8,1002940008,287.54602,5158.1104,http://www1.nyc.gov/assets/lpc/images/content/designations/2363.jpg
Yale Club of New York City,"",Club Building,Club Building,"","",Manhattan,Midtown East,50 Vanderbilt Avenue,40.754005,-73.977516,Point,185,0,1279,28,1012790028,0.0,0.0,http://www1.nyc.gov/assets/lpc/images/content/designations/2579.jpg
Citizens Savings Bank,"",Bank,"Commercial, bank","","",Manhattan,"",58 Bowery,40.716118,-73.99654,Point,572,1039,202,18,1002020018,342.8761,6508.64,http://www1.nyc.gov/assets/lpc/images/content/designations/2466.jpg
"Ridgewood Savings Bank, Forest Hills Branch","",Bank,"Commercial, bank","","",Queens,Forest Hills,107-55 Queens Boulevard,40.72198,-73.84427,Point,110,1317,2216,1,4022160001,291.6481,5351.1626,http://www1.nyc.gov/assets/lpc/images/content/designations/2066.jpg
Crotona Play Center,"",Pool,"Civic, recreation, pool","","",The Bronx,Crotona,Fulton Avenue between East 172nd and East 174th Streets,40.83987,-73.897736,Point,130,1337,2941,1,2029410001,2776.6494,420916.47,http://www1.nyc.gov/assets/lpc/images/content/designations/2232.jpg
"New York Public Library, Morrisania Branch",originally the McKinley Square Branch,Library,"Civic, library","","",The Bronx,Morrisania,610 East 169th Street,40.831272,-73.901794,Point,494,961,2615,23,2026150023,423.23965,9238.422,http://www1.nyc.gov/assets/lpc/images/content/designations/1996.jpg
New York Life Insurance Company Building,"",Office Building,"Commercial, office building","","",Manhattan,Gramercy,51 Madison Avenue,40.742756,-73.98559,Point,1396,260,856,24,1008560024,1271.4003,89288.95,http://www1.nyc.gov/assets/lpc/images/content/designations/2067.jpg
Wheatsworth Bakery Building,"",Factory,"Industrial, factory","","",Manhattan,"",444 East 10th Street,40.724945,-73.97588,Point,1106,772,379,27,1003790027,485.3023,13494.66,http://www1.nyc.gov/assets/lpc/images/content/designations/2262.jpg
Metropolitan Life Insurance Company Tower,"",Office Building,"Commercial, office building",Commercial,"",Manhattan,"Hudson Yards, Chelsea, Flatiron, Union Square",1 Madison Avenue,40.74128,-73.98735,Point,584,1051,853,1,1008530001,327.65936,6644.6685,http://www1.nyc.gov/assets/lpc/images/content/designations/1530.jpg
Chamber of Commerce of the State of New York,now the Mega International Commercial Bank,Office Building,"Commercial, office building","Commercial, Office Building","",Manhattan,Financial District,65 Liberty Street,40.709,-74.00966,Point,1275,139,64,9,1000640009,367.7948,8368.414,http://www1.nyc.gov/assets/lpc/images/content/designations/0053.jpg
Ahrens Building,"",Store and Lofts,"Commercial, store and lofts","","",Manhattan,Civic Center,70-76 Lafayette Street,40.71696,-74.002106,Point,1400,264,172,23,1001720023,223.51753,2385.3533,http://www1.nyc.gov/assets/lpc/images/content/designations/1759.jpg
Association of the Bar of the City of New York,"",Club,"Institutional, private club","","",Manhattan,Midtown/Midtown South,42 West 44th Street,40.755363,-73.98217,Point,1511,376,1259,14,1012590014,576.612,13487.72,http://www1.nyc.gov/assets/lpc/images/content/designations/0256.jpg
826 Broadway Building,"",Store and Lofts,"Commercial, store and lofts","","",Manhattan,Union Square South,826 Broadway (aka 826-828 Broadway; 57-63 East 12th Street),40.73326,-73.99083,Point,292,0,564,34,1005640034,0.0,0.0,http://www1.nyc.gov/assets/lpc/images/content/designations/2615.jpg
Long Island Headquarters of the New York Telephone Company,"",Skyscraper,"Commercial, office building","","",Brooklyn,"Downtown Brooklyn, Boerum Hill",97-105 Willoughby Street,40.692585,-73.98497,Point,382,848,2058,7501,3020587501,724.2659,26420.414,http://www1.nyc.gov/assets/lpc/images/content/designations/2144.jpg
"Museum Building, Fountain of Life, and Tulip Tree Allee, New York Botanical Garden","",Museum,"Institutional, museum","Recreational, botanical garden","",The Bronx,"","New York Botanical Garden, Watson Drive and Garden Way",40.86633,-73.879524,Point,620,1088,3272,1,2032720001,1677.3828,159854.47,http://www1.nyc.gov/assets/lpc/images/content/designations/2311.jpg
Tiffany & Co. Building,"",Store,"Commercial, retail, store","","",Manhattan,Murray Hill/Kips Bay,397-409 Fifth Avenue,40.749992,-73.98294,Point,743,408,866,76,1008660076,573.13586,19319.898,http://www1.nyc.gov/assets/lpc/images/content/designations/1624.jpg
Church of the Holy Apostles,"",Church,"Religious, church, Episcopal",Episcopal church,"",Manhattan,Chelsea,300 Ninth Avenue,40.749275,-73.99883,Point,698,1166,751,76,1007510076,516.42017,15013.048,http://www1.nyc.gov/assets/lpc/images/content/designations/0231.jpg
Seventh Regiment Armory,"",Armory,"Civic, armory","","",Manhattan,Upper East Side/Carnegie Hill,643 Park Avenue,40.76725,-73.96552,Point,1047,713,1401,1,1014010001,1244.9067,87240.09,http://www1.nyc.gov/assets/lpc/images/content/designations/0417.jpg
Century Assocation Building,"",Club,"Institutional, club","","",Manhattan,Gramercy,111 East 15th Street,40.735176,-73.98889,Point,1307,171,871,10,1008710010,319.72443,5459.032,http://www1.nyc.gov/assets/lpc/images/content/designations/1763.jpg
"New York Public Library, Tompkins Square Branch","",Library,"Civic, library",Public Library,"",Manhattan,East Village,331 East 10th Street,40.727325,-73.9804,Point,1513,378,404,39,1004040039,296.403,4938.58,http://www1.nyc.gov/assets/lpc/images/content/designations/1998.jpg
Church of the Incarnation and Rectory,"",Church,"Religious, church, Episcopal",Episcopal church,"",Manhattan,Murray Hill,205 and 209 Madison Avenue,40.74848,-73.981995,Point,41,1248,865,0,0,512.99133,15703.594,http://www1.nyc.gov/assets/lpc/images/content/designations/1046.jpg
New York & Long Island Coignet Stone Company Building,"",Office Building,"Commercial, office building","","",Brooklyn,"Park Slope, Gowanus",360 3rd Avenue,40.674953,-73.9884,Point,128,1335,978,0,0,362.9868,7030.0674,http://www1.nyc.gov/assets/lpc/images/content/designations/2202.jpg
